===== BERTS Scores (documents) =====
      precision  recall     f1
1918      0.404   0.621  0.503
1919      0.301   0.601  0.430
1920      0.240   0.506  0.355
1921      0.354   0.586  0.458
1922      0.401   0.653  0.513
1923      0.402   0.601  0.493
1924      0.359   0.607  0.469
1925      0.360   0.627  0.478
1926      0.274   0.597  0.410
1927      0.430   0.635  0.524
1928      0.332   0.591  0.447
1929      0.361   0.609  0.471
1930      0.335   0.615  0.457
1931      0.441   0.633  0.529
1932      0.289   0.570  0.410
1933      0.339   0.602  0.455
1934      0.421   0.665  0.530
1935      0.388   0.568  0.471
1936      0.406   0.633  0.509
1937      0.459   0.646  0.546
1938      0.330   0.571  0.437
1939      0.427   0.685  0.542
1940      0.441   0.703  0.558
1941      0.361   0.601  0.468
1942      0.393   0.625  0.498
1943      0.439   0.645  0.533
1944      0.352   0.636  0.476
1945      0.421   0.576  0.494
1946      0.332   0.551  0.431
1947      0.480   0.719  0.588
1948      0.453   0.694  0.562
1949      0.293   0.635  0.437
1950      0.369   0.591  0.469
1951      0.478   0.664  0.565
1952      0.357   0.573  0.455
1953      0.277   0.606  0.416
1954      0.332   0.548  0.429
1955      0.396   0.618  0.496
1956      0.435   0.649  0.532
1957      0.377   0.661  0.501
1958      0.312   0.516  0.404
1959      0.341   0.542  0.433
1960      0.546   0.625  0.585
1961      0.235   0.544  0.366
1962      0.307   0.555  0.417
1963      0.381   0.593  0.478
1964      0.316   0.621  0.447
1965      0.259   0.470  0.354
1966      0.377   0.644  0.495
1967      0.316   0.546  0.419
1968      0.345   0.604  0.459
1969      0.376   0.560  0.461
1970      0.304   0.573  0.422
1971      0.349   0.586  0.455
1972      0.308   0.561  0.419
1973      0.499   0.640  0.566
1974      0.345   0.571  0.447
1975      0.331   0.581  0.442
1976      0.426   0.684  0.541
1977      0.355   0.593  0.462
1978      0.330   0.612  0.453
1979      0.422   0.647  0.524
1980      0.339   0.584  0.448
1981      0.377   0.652  0.497
1982      0.263   0.613  0.408
1983      0.612   0.681  0.647
1984      0.463   0.656  0.552
1985      0.364   0.648  0.488
1986      0.342   0.630  0.467
1987      0.349   0.588  0.456
1988      0.414   0.631  0.513
1989      0.461   0.660  0.553
1990      0.385   0.632  0.495
1991      0.331   0.627  0.459
1992      0.282   0.532  0.392
1993      0.337   0.588  0.448
1994      0.354   0.609  0.467
1995      0.370   0.607  0.476
1996      0.361   0.572  0.457
1997      0.398   0.623  0.500
1998      0.442   0.688  0.552
1999      0.342   0.596  0.455
2000      0.260   0.566  0.390
2001      0.417   0.671  0.530
2002      0.409   0.678  0.528
2003      0.330   0.586  0.443
2004      0.302   0.564  0.417
2005      0.332   0.579  0.442
2006      0.346   0.585  0.452
2007      0.383   0.695  0.518
2008      0.429   0.630  0.521
2009      0.346   0.632  0.471
2010      0.361   0.631  0.480
2011      0.316   0.489  0.397
2012      0.292   0.566  0.411
2013      0.458   0.679  0.559
2014      0.478   0.696  0.578
2015      0.316   0.532  0.414
2016      0.269   0.483  0.365
2017      0.404   0.608  0.497
2018      0.444   0.645  0.536
2019      0.363   0.547  0.448
2020      0.376   0.627  0.488
2021      0.336   0.581  0.445
2022      0.283   0.564  0.404
2023      0.425   0.612  0.511
2024      0.333   0.581  0.443
2025      0.505   0.772  0.624
2026      0.286   0.580  0.412
2027      0.445   0.655  0.541
2028      0.352   0.608  0.465
2029      0.294   0.554  0.408
2030      0.302   0.641  0.445
2031      0.443   0.601  0.517
2032      0.403   0.631  0.506
2033      0.301   0.561  0.415
2034      0.325   0.650  0.463
2035      0.594   0.622  0.609
2036      0.346   0.636  0.472
2037      0.394   0.625  0.498
2038      0.451   0.623  0.531
2039      0.303   0.548  0.411
2040      0.324   0.585  0.439
2041      0.260   0.554  0.386
2042      0.290   0.545  0.402
2043      0.448   0.645  0.539
2044      0.385   0.665  0.508
2045      0.375   0.570  0.464
2046      0.371   0.625  0.484
2047      0.348   0.622  0.468
2048      0.433   0.599  0.511
2049      0.360   0.607  0.470
2050      0.362   0.607  0.472
2051      0.348   0.512  0.424
2052      0.400   0.645  0.510
2053      0.335   0.573  0.441
2054      0.394   0.653  0.509
2055      0.436   0.641  0.530
2056      0.303   0.592  0.428
2057      0.484   0.656  0.564
2058      0.311   0.544  0.415
2059      0.473   0.616  0.541
2060      0.307   0.576  0.425
2061      0.397   0.622  0.499
2062      0.357   0.573  0.455
2063      0.376   0.597  0.476
2064      0.388   0.612  0.489
2065      0.370   0.670  0.500
2066      0.384   0.610  0.486
2067      0.368   0.632  0.485
2068      0.302   0.574  0.420
2069      0.324   0.597  0.444
2070      0.320   0.594  0.440
2071      0.451   0.693  0.560
2072      0.399   0.613  0.496
2073      0.434   0.650  0.532
2074      0.395   0.650  0.509
2075      0.415   0.637  0.516
2076      0.404   0.592  0.491
2077      0.267   0.576  0.398
2078      0.375   0.636  0.491
2079      0.273   0.446  0.353
2080      0.553   0.698  0.622
2081      0.343   0.588  0.452
2082      0.276   0.611  0.416
2083      0.403   0.689  0.528
2084      0.242   0.529  0.365
2085      0.293   0.521  0.395
2086      0.392   0.546  0.464
2087      0.353   0.574  0.453
2088      0.261   0.536  0.380
2089      0.322   0.559  0.428
2090      0.363   0.604  0.471
2091      0.405   0.606  0.497
2092      0.405   0.599  0.494
2093      0.433   0.712  0.556
2094      0.330   0.603  0.450
2095      0.413   0.612  0.504
2096      0.433   0.627  0.522
2097      0.303   0.587  0.426
2098      0.294   0.583  0.419
2099      0.545   0.698  0.617
2100      0.402   0.663  0.518
2101      0.423   0.655  0.528
2102      0.516   0.678  0.592
2103      0.168   0.456  0.289
2104      0.275   0.541  0.391
2105      0.332   0.609  0.453
2106      0.321   0.566  0.430
2107      0.420   0.644  0.522
2108      0.361   0.547  0.447
2109      0.433   0.588  0.506
2110      0.285   0.520  0.389
2111      0.360   0.574  0.457
2112      0.430   0.629  0.522
2113      0.259   0.561  0.388
2114      0.377   0.586  0.472
2115      0.346   0.577  0.450
2116      0.350   0.620  0.469
2117      0.349   0.591  0.457
2118      0.384   0.610  0.486
2119      0.358   0.594  0.463
2120      0.494   0.668  0.575
2121      0.402   0.677  0.524
2122      0.344   0.598  0.456
2123      0.389   0.618  0.492
2124      0.346   0.555  0.441
2125      0.349   0.575  0.451
2126      0.333   0.586  0.445
2127      0.381   0.654  0.501
2128      0.391   0.626  0.497
2129      0.350   0.617  0.468
2130      0.308   0.599  0.434
2131      0.343   0.627  0.467
2132      0.413   0.640  0.516
2133      0.331   0.627  0.459
2134      0.374   0.694  0.511
2135      0.285   0.556  0.403
2136      0.275   0.511  0.380
2137      0.334   0.580  0.443
2138      0.368   0.633  0.485
2139      0.455   0.674  0.555
2140      0.362   0.602  0.469
2141      0.354   0.574  0.454
2142      0.365   0.616  0.477
2143      0.357   0.607  0.468
2144      0.386   0.605  0.486
2145      0.413   0.646  0.518
2146      0.286   0.591  0.416
2147      0.353   0.634  0.476
2148      0.436   0.641  0.530
2149      0.393   0.625  0.498
2150      0.349   0.614  0.465
2151      0.375   0.637  0.491
2152      0.277   0.544  0.393
2153      0.390   0.587  0.481
2154      0.352   0.639  0.477
2155      0.375   0.614  0.482
2156      0.314   0.564  0.425
2157      0.298   0.576  0.419
2158      0.290   0.597  0.421
2159      0.384   0.599  0.482
2160      0.300   0.546  0.409
2161      0.228   0.510  0.349
2162      0.427   0.648  0.527
2163      0.445   0.690  0.555
2164      0.373   0.599  0.475
2165      0.297   0.523  0.398
2166      0.347   0.623  0.468
2167      0.418   0.634  0.517
2168      0.519   0.617  0.567
2169      0.384   0.628  0.493
2170      0.370   0.607  0.476
2171      0.345   0.571  0.447
2172      0.458   0.649  0.546
2173      0.317   0.583  0.433
2174      0.269   0.528  0.382
2175      0.308   0.575  0.425
2176      0.344   0.608  0.460
2177      0.320   0.590  0.438
2178      0.284   0.561  0.404
2179      0.422   0.446  0.435
2180      0.467   0.736  0.587
2181      0.386   0.613  0.489
2182      0.284   0.603  0.419
2183      0.370   0.510  0.437
2184      0.283   0.590  0.414
2185      0.432   0.683  0.544
2186      0.363   0.591  0.466
2187      0.384   0.618  0.489
2188      0.362   0.647  0.486
2189      0.377   0.613  0.483
2190      0.307   0.583  0.427
2191      0.453   0.627  0.534
2192      0.298   0.520  0.398
2193      0.427   0.618  0.515
2194      0.321   0.568  0.430
2195      0.395   0.608  0.492
2196      0.342   0.631  0.468
2197      0.382   0.657  0.503
2198      0.397   0.630  0.502
2199      0.358   0.547  0.445
2200      0.376   0.587  0.472
2201      0.339   0.733  0.501
2202      0.472   0.678  0.567
2203      0.332   0.627  0.459
2204      0.289   0.573  0.412
2205      0.360   0.620  0.475
2206      0.439   0.674  0.545
2207      0.436   0.669  0.541
2208      0.430   0.647  0.528
2209      0.393   0.511  0.450
2210      0.339   0.575  0.445
2211      0.362   0.605  0.470
2212      0.272   0.496  0.372
2213      0.356   0.586  0.459
2214      0.383   0.617  0.488
2215      0.469   0.594  0.529
2216      0.268   0.552  0.390
2217      0.370   0.575  0.464
2218      0.456   0.632  0.538
2219      0.385   0.571  0.471
2220      0.404   0.655  0.516
2221      0.326   0.571  0.434
2222      0.415   0.663  0.526
2223      0.354   0.652  0.483
2224      0.395   0.605  0.491
2225      0.350   0.555  0.443
2226      0.385   0.608  0.486
2227      0.506   0.570  0.538
2228      0.432   0.614  0.516
2229      0.316   0.583  0.433
2230      0.360   0.595  0.466
2231      0.244   0.573  0.382
2232      0.435   0.574  0.501
2233      0.420   0.693  0.541
2234      0.370   0.605  0.475
2235      0.372   0.608  0.478
2236      0.319   0.510  0.407
2237      0.393   0.636  0.502
2238      0.398   0.698  0.528
2239      0.468   0.644  0.550
2240      0.359   0.625  0.476
2241      0.428   0.641  0.525
2242      0.403   0.627  0.505
2243      0.377   0.579  0.469
2244      0.531   0.604  0.567
2245      0.329   0.601  0.448
2246      0.387   0.577  0.475
2247      0.352   0.617  0.469
2248      0.431   0.642  0.527
2249      0.408   0.631  0.509
2250      0.346   0.554  0.441
2251      0.322   0.597  0.442
2252      0.389   0.630  0.497
2253      0.378   0.588  0.473
2254      0.353   0.571  0.452
2255      0.328   0.586  0.442
2256      0.433   0.614  0.517
2257      0.325   0.587  0.440
2258      0.425   0.597  0.505
2259      0.381   0.588  0.475
2260      0.397   0.601  0.490
2261      0.379   0.626  0.489
2262      0.383   0.652  0.502
2263      0.372   0.653  0.495
2264      0.359   0.649  0.485
2265      0.430   0.600  0.509
2266      0.437   0.712  0.558
2267      0.302   0.574  0.421
2268      0.370   0.584  0.467
2269      0.382   0.656  0.502
2270      0.383   0.599  0.481
2271      0.316   0.491  0.397
2272      0.419   0.650  0.523
2273      0.367   0.581  0.464
2274      0.332   0.553  0.431
2275      0.472   0.645  0.553
2276      0.362   0.589  0.464
2277      0.397   0.584  0.483
2278      0.396   0.670  0.517
2279      0.299   0.515  0.396
2280      0.266   0.585  0.401
2281      0.302   0.599  0.430
2282      0.337   0.615  0.458
2283      0.286   0.613  0.424
2284      0.326   0.610  0.449
2285      0.328   0.539  0.424
2286      0.270   0.540  0.387
2287      0.315   0.535  0.414
2288      0.379   0.643  0.496
2289      0.286   0.597  0.418
2290      0.385   0.642  0.499
2291      0.321   0.525  0.414
2292      0.428   0.569  0.495
2293      0.450   0.674  0.552
2294      0.368   0.622  0.481
2295      0.320   0.599  0.442
2296      0.264   0.570  0.394
2297      0.358   0.655  0.487
2298      0.371   0.613  0.479
2299      0.256   0.542  0.379
2300      0.383   0.648  0.500
2301      0.409   0.611  0.501
2302      0.441   0.712  0.561
2303      0.311   0.543  0.415
2304      0.389   0.668  0.512
2305      0.347   0.577  0.450
2306      0.339   0.544  0.432
2307      0.316   0.538  0.416
2308      0.402   0.619  0.501
2309      0.432   0.638  0.527
2310      0.474   0.693  0.574
2311      0.285   0.494  0.379
2312      0.329   0.608  0.451
2313      0.433   0.622  0.521
2314      0.392   0.640  0.503
2315      0.503   0.735  0.608
2316      0.352   0.613  0.467
2317      0.287   0.537  0.397
2318      0.441   0.550  0.494
2319      0.323   0.580  0.436
2320      0.341   0.635  0.469
2321      0.373   0.597  0.474
2322      0.368   0.651  0.492
2323      0.340   0.581  0.448
2324      0.376   0.639  0.492
2325      0.520   0.739  0.620
2326      0.322   0.598  0.442
2327      0.288   0.564  0.408
2328      0.347   0.610  0.463
2329      0.359   0.560  0.451
2330      0.427   0.686  0.542
2331      0.410   0.645  0.516
2332      0.395   0.649  0.508
2333      0.279   0.525  0.388
2334      0.346   0.554  0.441
2335      0.394   0.578  0.479
2336      0.329   0.638  0.462
2337      0.357   0.598  0.464
2338      0.199   0.501  0.326
2339      0.314   0.554  0.421
2340      0.391   0.637  0.501
2341      0.396   0.631  0.502
2342      0.345   0.568  0.446
2343      0.307   0.586  0.428
2344      0.384   0.591  0.479
2345      0.249   0.540  0.374
2346      0.335   0.484  0.405
2347      0.355   0.632  0.476
2348      0.293   0.586  0.419
2349      0.423   0.637  0.520
2350      0.474   0.629  0.547
2351      0.347   0.630  0.470
2352      0.305   0.612  0.437
2353      0.271   0.543  0.389
2354      0.403   0.686  0.527
2355      0.341   0.587  0.451
2356      0.321   0.603  0.444
2357      0.325   0.578  0.437
2358      0.322   0.578  0.435
2359      0.524   0.644  0.582
2360      0.455   0.700  0.565
2361      0.471   0.624  0.543
2362      0.414   0.624  0.510
2363      0.358   0.597  0.465
2364      0.360   0.628  0.478
2365      0.359   0.604  0.468
2366      0.317   0.598  0.439
2367      0.531   0.678  0.601
2368      0.308   0.550  0.416
2369      0.503   0.632  0.565
2370      0.431   0.514  0.472
2371      0.358   0.579  0.458
2372      0.307   0.556  0.417
2373      0.398   0.614  0.496
2374      0.508   0.648  0.574
2375      0.401   0.597  0.491
2376      0.325   0.548  0.425
2377      0.327   0.589  0.442
2378      0.383   0.610  0.486
2379      0.348   0.596  0.458
2380      0.413   0.670  0.528
2381      0.452   0.654  0.545
2382      0.319   0.603  0.442
2383      0.363   0.669  0.495
2384      0.420   0.634  0.518
2385      0.361   0.636  0.482
2386      0.337   0.599  0.453
2387      0.433   0.613  0.517
2388      0.368   0.605  0.474
2389      0.348   0.588  0.455
2390      0.384   0.623  0.491
2391      0.253   0.570  0.387
2392      0.509   0.642  0.573
2393      0.272   0.610  0.413
2394      0.297   0.538  0.404
2395      0.374   0.579  0.468
2396      0.372   0.597  0.474
2397      0.327   0.591  0.443
2398      0.357   0.620  0.473
2399      0.486   0.668  0.571
2400      0.376   0.635  0.491
2401      0.365   0.628  0.481
2402      0.306   0.590  0.429
2403      0.387   0.616  0.490
2404      0.478   0.700  0.579
2405      0.399   0.603  0.492
2406      0.450   0.680  0.554
2407      0.425   0.595  0.505
2408      0.356   0.580  0.457
2409      0.313   0.569  0.426
2410      0.384   0.654  0.503
2411      0.259   0.531  0.377
2412      0.345   0.599  0.457
2413      0.412   0.594  0.496
2414      0.436   0.643  0.530
2415      0.339   0.624  0.463
2416      0.314   0.577  0.430
2417      0.283   0.508  0.383
2418      0.423   0.601  0.506
2419      0.284   0.631  0.429
2420      0.367   0.624  0.481
2421      0.362   0.642  0.484
2422      0.369   0.599  0.472
2423      0.334   0.568  0.439
2424      0.360   0.622  0.476
2425      0.474   0.695  0.575
2426      0.453   0.656  0.546
2427      0.401   0.654  0.513
2428      0.328   0.592  0.444
2429      0.302   0.540  0.408
2430      0.429   0.623  0.518
2431      0.336   0.597  0.451
2432      0.381   0.576  0.470
2433      0.373   0.546  0.453
2434      0.439   0.671  0.544
2435      0.382   0.642  0.497
2436      0.433   0.647  0.531
2437      0.279   0.596  0.414
2438      0.351   0.632  0.474
2439      0.279   0.612  0.419
2440      0.297   0.567  0.415
2441      0.322   0.597  0.442
2442      0.355   0.595  0.462
2443      0.518   0.647  0.580
2444      0.299   0.530  0.402
2445      0.378   0.610  0.482
2446      0.449   0.734  0.575
2447      0.421   0.602  0.505
2448      0.360   0.620  0.475
2449      0.341   0.638  0.469
2450      0.319   0.558  0.425
2451      0.320   0.576  0.433
2452      0.356   0.533  0.438
2453      0.383   0.585  0.476
2454      0.324   0.561  0.430
2455      0.265   0.542  0.385
2456      0.381   0.621  0.489
2457      0.370   0.611  0.478
2458      0.303   0.514  0.398
2459      0.317   0.562  0.426
2460      0.519   0.636  0.576
2461      0.321   0.587  0.438
2462      0.285   0.516  0.388
2463      0.405   0.662  0.520
2464      0.382   0.637  0.495
2465      0.281   0.582  0.410
2466      0.323   0.572  0.433
2467      0.252   0.440  0.338
2468      0.290   0.612  0.426
2469      0.376   0.606  0.480
2470      0.347   0.591  0.456
2471      0.381   0.637  0.494
2472      0.384   0.599  0.482
2473      0.303   0.554  0.414
2474      0.261   0.539  0.381
2475      0.404   0.579  0.486
2476      0.442   0.677  0.548
2477      0.325   0.621  0.453
2478      0.384   0.594  0.480
2479      0.373   0.604  0.477
2480      0.352   0.559  0.446
2481      0.327   0.602  0.447
2482      0.353   0.579  0.455
2483      0.296   0.563  0.413
2484      0.305   0.569  0.421
2485      0.372   0.637  0.489
2486      0.369   0.598  0.472
2487      0.250   0.476  0.351
2488      0.320   0.545  0.421
2489      0.500   0.703  0.593
2490      0.354   0.603  0.464
2491      0.460   0.686  0.562
2492      0.424   0.646  0.525
2493      0.408   0.599  0.496
2494      0.452   0.700  0.563
2495      0.353   0.571  0.452
2496      0.345   0.595  0.456
2497      0.457   0.713  0.571
2498      0.383   0.649  0.500
2499      0.386   0.585  0.477
2500      0.357   0.613  0.471
2501      0.295   0.573  0.416
2502      0.240   0.542  0.368
2503      0.423   0.678  0.537
2504      0.411   0.620  0.506
2505      0.426   0.570  0.494
2506      0.363   0.636  0.483
2507      0.384   0.634  0.496
2508      0.331   0.644  0.465
2509      0.448   0.642  0.537
2510      0.547   0.628  0.587
2511      0.395   0.651  0.509
2512      0.373   0.617  0.482
2513      0.302   0.608  0.433
2514      0.293   0.624  0.433
2515      0.392   0.591  0.483
2516      0.312   0.605  0.439
2517      0.303   0.600  0.431
2518      0.280   0.485  0.372
2519      0.329   0.599  0.447
2520      0.279   0.559  0.400
2521      0.304   0.536  0.408
2522      0.415   0.658  0.524
2523      0.371   0.664  0.498
2524      0.503   0.680  0.586
2525      0.219   0.506  0.342
2526      0.405   0.618  0.502
2527      0.461   0.627  0.539
2528      0.372   0.660  0.498
2529      0.529   0.631  0.579
2530      0.342   0.623  0.465
2531      0.326   0.580  0.438
2532      0.307   0.554  0.416
2533      0.333   0.624  0.459
2534      0.426   0.685  0.542
2535      0.357   0.571  0.454
2536      0.350   0.598  0.460
2537      0.316   0.554  0.422
2538      0.389   0.647  0.504
2539      0.462   0.664  0.555
2540      0.381   0.615  0.486
2541      0.475   0.661  0.561
2542      0.338   0.543  0.431
2543      0.273   0.582  0.405
2544      0.399   0.613  0.496
2545      0.387   0.657  0.506
2546      0.330   0.579  0.440
2547      0.351   0.596  0.460
2548      0.371   0.637  0.489
2549      0.313   0.590  0.434
2550      0.394   0.625  0.498
2551      0.396   0.597  0.488
2552      0.415   0.639  0.516
2553      0.402   0.596  0.491
2554      0.434   0.645  0.530
2555      0.463   0.495  0.480
2556      0.446   0.664  0.545
2557      0.347   0.599  0.459
2558      0.325   0.601  0.445
2559      0.372   0.629  0.486
2560      0.422   0.651  0.525
2561      0.346   0.633  0.471
2562      0.339   0.626  0.464
2563      0.482   0.645  0.559
2564      0.313   0.566  0.424
2565      0.302   0.606  0.433
2566      0.393   0.542  0.463
2567      0.393   0.590  0.483
2568      0.298   0.615  0.433
2569      0.381   0.612  0.485
2570      0.332   0.665  0.473
2571      0.481   0.639  0.555
2572      0.479   0.686  0.574
2573      0.380   0.660  0.503
2574      0.444   0.682  0.552
2575      0.362   0.648  0.487
2576      0.385   0.597  0.482
2577      0.437   0.697  0.553
2578      0.334   0.567  0.438
2579      0.347   0.583  0.452
2580      0.308   0.565  0.421
2581      0.313   0.572  0.427
2582      0.309   0.583  0.429
2583      0.292   0.553  0.406
2584      0.321   0.618  0.449
2585      0.335   0.609  0.455
2586      0.392   0.638  0.502
2587      0.303   0.579  0.423
2588      0.323   0.615  0.450
2589      0.369   0.578  0.464
2590      0.342   0.587  0.451
2591      0.445   0.586  0.512
2592      0.384   0.607  0.485
2593      0.333   0.654  0.470
2594      0.428   0.633  0.522
2595      0.423   0.651  0.526
2596      0.338   0.601  0.454
2597      0.393   0.562  0.472
2598      0.385   0.559  0.466
2599      0.282   0.546  0.397
2600      0.381   0.573  0.469
2601      0.302   0.593  0.428
2602      0.312   0.628  0.447
2603      0.427   0.618  0.516
2604      0.481   0.655  0.562
2605      0.256   0.527  0.374
2606      0.358   0.587  0.461
2607      0.332   0.613  0.455
2608      0.343   0.564  0.443
2609      0.246   0.589  0.389
2610      0.274   0.564  0.398
2611      0.245   0.517  0.363
2612      0.381   0.639  0.496
2613      0.367   0.620  0.480
2614      0.324   0.543  0.422
2615      0.286   0.547  0.400
2616      0.382   0.626  0.491
2617      0.333   0.591  0.447
2618      0.338   0.600  0.454
2619      0.320   0.554  0.424
2620      0.382   0.620  0.489
2621      0.312   0.526  0.409
2622      0.251   0.521  0.368
2623      0.372   0.614  0.480
2624      0.314   0.569  0.426
2625      0.349   0.551  0.441
2626      0.471   0.660  0.558
2627      0.349   0.534  0.434
2628      0.340   0.582  0.448
2629      0.295   0.543  0.405
2630      0.276   0.483  0.369
2631      0.313   0.535  0.413
2632      0.362   0.605  0.470
2633      0.405   0.686  0.529
2634      0.379   0.596  0.477
2635      0.359   0.594  0.464
2636      0.313   0.554  0.420
2637      0.306   0.606  0.435
2638      0.417   0.573  0.491
2639      0.364   0.632  0.482
2640      0.297   0.575  0.418
2641      0.402   0.626  0.503
2642      0.310   0.588  0.431
2643      0.426   0.645  0.526
2644      0.327   0.529  0.419
2645      0.333   0.552  0.432
2646      0.321   0.578  0.434
2647      0.355   0.619  0.471
2648      0.368   0.593  0.469
2649      0.420   0.646  0.523
2650      0.345   0.622  0.466
2651      0.311   0.582  0.429
2652      0.274   0.587  0.407
2653      0.507   0.738  0.612
2654      0.359   0.669  0.493
2655      0.250   0.556  0.380
2656      0.329   0.579  0.440
2657      0.315   0.582  0.432
2658      0.368   0.596  0.471
2659      0.403   0.644  0.511
2660      0.394   0.692  0.524
2661      0.292   0.584  0.418
2662      0.478   0.728  0.590
2663      0.429   0.604  0.511
2664      0.369   0.588  0.468
2665      0.294   0.584  0.419
2666      0.379   0.638  0.494
2667      0.253   0.561  0.384
2668      0.477   0.648  0.557
2669      0.319   0.559  0.426
2670      0.269   0.521  0.380
2671      0.305   0.530  0.406
2672      0.520   0.608  0.564
2673      0.346   0.563  0.444
2674      0.383   0.664  0.507
2675      0.368   0.586  0.467
2676      0.367   0.641  0.487
2677      0.298   0.527  0.400
2678      0.394   0.588  0.483
2679      0.376   0.576  0.468
2680      0.593   0.686  0.639
2681      0.313   0.555  0.421
2682      0.381   0.674  0.509
2683      0.398   0.606  0.493
2684      0.301   0.576  0.421
2685      0.349   0.528  0.432
2686      0.454   0.582  0.515
2687      0.436   0.678  0.545
2688      0.269   0.589  0.404
2689      0.378   0.608  0.481
2690      0.264   0.534  0.381
2691      0.469   0.675  0.564
2692      0.318   0.606  0.443
2693      0.442   0.633  0.530
2694      0.403   0.631  0.506
2695      0.470   0.651  0.554
2696      0.356   0.654  0.485
2697      0.391   0.622  0.495
2698      0.355   0.595  0.462
2699      0.270   0.511  0.377
2700      0.386   0.663  0.508
2701      0.402   0.608  0.496
2702      0.334   0.653  0.470
2703      0.295   0.477  0.379
2704      0.472   0.587  0.528
2705      0.365   0.590  0.466
2706      0.379   0.632  0.492
2707      0.426   0.656  0.530
2708      0.397   0.604  0.491
2709      0.388   0.653  0.505
2710      0.361   0.574  0.458
2711      0.351   0.554  0.444
2712      0.336   0.599  0.452
2713      0.335   0.611  0.456
2714      0.352   0.568  0.450
2715      0.401   0.640  0.508
2716      0.353   0.594  0.460
2717      0.435   0.612  0.517
2718      0.435   0.651  0.533
2719      0.290   0.599  0.422
2720      0.317   0.491  0.397
2721      0.308   0.539  0.412
2722      0.323   0.607  0.447
2723      0.419   0.649  0.523
2724      0.361   0.542  0.445
2725      0.360   0.607  0.470
2726      0.355   0.633  0.477
2727      0.395   0.640  0.505
2728      0.317   0.572  0.429
2729      0.339   0.577  0.445
2730      0.424   0.582  0.498
2731      0.321   0.557  0.426
2732      0.366   0.616  0.477
2733      0.409   0.640  0.513
2734      0.461   0.611  0.532
2735      0.338   0.605  0.455
2736      0.492   0.544  0.518
2737      0.497   0.666  0.576
2738      0.469   0.665  0.560
2739      0.330   0.572  0.438
2740      0.488   0.738  0.600
2741      0.373   0.574  0.465
2742      0.576   0.639  0.608
2743      0.368   0.628  0.483
2744      0.309   0.556  0.418
2745      0.365   0.633  0.483
2746      0.349   0.549  0.440
2747      0.381   0.674  0.509
2748      0.445   0.693  0.556
2749      0.288   0.539  0.398
2750      0.354   0.570  0.452
2751      0.305   0.624  0.441
2752      0.391   0.651  0.507
2753      0.362   0.574  0.458
2754      0.525   0.733  0.621
2755      0.354   0.570  0.452
2756      0.348   0.582  0.452
2757      0.354   0.603  0.464
2758      0.397   0.702  0.530
2759      0.401   0.624  0.502
2760      0.230   0.478  0.339
2761      0.416   0.661  0.526
2762      0.383   0.589  0.477
2763      0.387   0.627  0.495
2764      0.308   0.610  0.438
2765      0.489   0.626  0.554
2766      0.329   0.606  0.450
2767      0.392   0.592  0.483
2768      0.469   0.703  0.575
2769      0.333   0.579  0.442
2770      0.437   0.646  0.533
2771      0.340   0.607  0.457
2772      0.329   0.603  0.448
2773      0.361   0.577  0.459
2774      0.276   0.528  0.387
2775      0.351   0.613  0.466
2776      0.319   0.604  0.443
2777      0.354   0.584  0.457
2778      0.445   0.627  0.530
2779      0.390   0.658  0.509
2780      0.422   0.629  0.517
2781      0.359   0.594  0.464
2782      0.314   0.566  0.425
2783      0.381   0.581  0.473
2784      0.364   0.593  0.467
2785      0.420   0.622  0.513
2786      0.450   0.644  0.539
2787      0.344   0.639  0.472
2788      0.320   0.611  0.446
2789      0.368   0.645  0.490
2790      0.350   0.585  0.455
2791      0.283   0.571  0.407
2792      0.392   0.644  0.504
2793      0.387   0.578  0.475
2794      0.472   0.645  0.553
2795      0.393   0.680  0.519
2796      0.356   0.643  0.481
2797      0.437   0.667  0.541
2798      0.198   0.502  0.326
2799      0.525   0.724  0.617
2800      0.251   0.572  0.386
2801      0.362   0.566  0.455
2802      0.354   0.509  0.427
2803      0.526   0.718  0.615
2804      0.282   0.548  0.398
2805      0.260   0.523  0.375
2806      0.360   0.590  0.463
2807      0.288   0.588  0.416
2808      0.434   0.651  0.533
2809      0.418   0.653  0.524
2810      0.400   0.636  0.506
2811      0.385   0.583  0.476
2812      0.315   0.609  0.442
2813      0.429   0.622  0.518
2814      0.394   0.627  0.499
2815      0.318   0.582  0.434
2816      0.348   0.621  0.468
2817      0.355   0.609  0.468
2818      0.329   0.632  0.460
2819      0.333   0.624  0.459
2820      0.415   0.631  0.513
2821      0.263   0.546  0.385
2822      0.358   0.612  0.470
2823      0.388   0.609  0.488
2824      0.271   0.565  0.397
2825      0.371   0.601  0.474
2826      0.297   0.536  0.403
2827      0.458   0.756  0.589
2828      0.442   0.707  0.560
2829      0.511   0.680  0.590
2830      0.340   0.612  0.459
2831      0.404   0.569  0.482
2832      0.508   0.704  0.599
2833      0.408   0.662  0.521
2834      0.321   0.602  0.443
2835      0.501   0.650  0.572
2836      0.317   0.594  0.438
2837      0.421   0.660  0.528
2838      0.314   0.567  0.426
2839      0.475   0.668  0.564
2840      0.355   0.645  0.482
2841      0.378   0.542  0.455
2842      0.438   0.654  0.537
2843      0.332   0.596  0.448
2844      0.482   0.634  0.553
2845      0.354   0.578  0.455
2846      0.327   0.634  0.459
2847      0.334   0.587  0.446
2848      0.340   0.599  0.454
